altitude,xaccel,yaccel,zaccel,elevator,aileron,rudder
1001.1702,-1386.3417,-1319.6539,-9.1129,0.0487,0.212,0.0
1001.196,-1389.8326,-1287.3928,4.5657,0.0494,0.2109,0.0
1001.222,-1392.1825,-1255.0585,18.2511,0.0501,0.2097,0.0
1001.2481,-1393.4057,-1222.685,31.9278,0.0508,0.2084,0.0
1001.2744,-1393.5175,-1190.3049,45.5802,0.0515,0.2071,0.0
1001.3008,-1392.5349,-1157.9499,59.1929,0.0521,0.2057,0.0
1001.3274,-1390.4757,-1125.6505,72.7506,0.0527,0.2043,0.0
1001.3541,-1387.3591,-1093.4359,86.2382,0.0533,0.2027,0.0
1001.381,-1383.2053,-1061.3344,99.6407,0.0538,0.2011,0.0
1001.408,-1381.5097,-1029.349,113.0296,0.0543,0.1995,0.0
1001.4351,-1379.729,-997.4107,126.3054,0.0548,0.1977,0.0
1001.4624,-1376.9103,-965.552,139.4228,0.0553,0.1959,0.0
1001.4898,-1373.0753,-933.807,152.3705,0.0557,0.194,0.0
1001.5173,-1368.2463,-902.2045,165.1382,0.0561,0.1921,0.0
1001.5449,-1362.4465,-870.7723,177.7157,0.0565,0.1901,0.0
1001.5727,-1355.7002,-839.5365,190.0932,0.0569,0.188,0.0
1001.6006,-1348.0323,-808.5224,202.2611,0.0572,0.1859,0.0
1001.6286,-1339.4685,-777.7539,214.2102,0.0574,0.1837,0.0
1001.6567,-1330.0353,-747.2537,225.9317,0.0577,0.1815,0.0
1001.6849,-1319.7596,-717.0432,237.417,0.0579,0.1792,0.0
1001.7132,-1308.6689,-687.1427,248.6582,0.0581,0.1769,0.0
1001.7416,-1296.7912,-657.5711,259.6477,0.0582,0.1744,0.0
1001.7701,-1284.1548,-628.3462,270.3781,0.0583,0.172,0.0
1001.7988,-1270.7884,-599.4847,280.8428,0.0584,0.1695,0.0
1001.8275,-1256.7208,-571.0018,291.0354,0.0585,0.1669,0.0
1001.8563,-1241.9812,-542.912,300.9502,0.0585,0.1643,0.0
1001.8852,-1226.5987,-515.2282,310.5818,0.0584,0.1617,0.0
1001.9142,-1210.6027,-487.9625,319.9253,0.0584,0.159,0.0
1001.9433,-1194.0225,-461.1258,328.9764,0.0583,0.1562,0.0
1001.9725,-1176.8872,-434.7278,337.7312,0.0582,0.1534,0.0
1002.0018,-1159.2262,-408.7776,346.1863,0.058,0.1506,0.0
1002.0311,-1141.0683,-383.2827,354.3387,0.0578,0.1478,0.0
1002.0605,-1122.4426,-358.2502,362.186,0.0576,0.1449,0.0
1002.0901,-1103.3774,-333.6857,369.7262,0.0574,0.1419,0.0
1002.1197,-1083.9013,-309.5945,376.9579,0.0571,0.1389,0.0
1002.1493,-1064.0422,-285.9804,383.8799,0.0568,0.1359,0.0
1002.1791,-1043.8278,-262.8469,390.4916,0.0565,0.1329,0.0
1002.2089,-1023.2855,-240.1964,396.7929,0.0561,0.1298,0.0
1002.2388,-1002.442,-218.0305,402.7839,0.0557,0.1267,0.0
1002.2687,-981.3239,-196.3503,408.4655,0.0553,0.1236,0.0
1002.2988,-959.9571,-175.156,413.8385,0.0548,0.1204,0.0
1002.3289,-938.3672,-154.4473,418.9045,0.0544,0.1173,0.0
1002.359,-916.579,-134.223,423.6652,0.0539,0.1141,0.0
1002.3893,-894.617,-114.4816,428.1228,0.0533,0.1108,0.0
1002.4196,-872.5051,-95.221,432.2799,0.0528,0.1076,0.0
1002.4499,-850.2666,-76.4384,436.1391,0.0522,0.1043,0.0
1002.4803,-827.9241,-58.1306,439.7037,0.0516,0.101,0.0
1002.5108,-805.4999,-40.294,442.977,0.051,0.0977,0.0
1002.5413,-783.0155,-22.9246,445.9628,0.0504,0.0944,0.0
1002.5719,-760.4917,-6.0179,448.6649,0.0498,0.0911,0.0
1002.6025,-737.9488,10.431,451.0876,0.0491,0.0877,0.0
1002.6332,-715.4065,26.4271,453.2353,0.0484,0.0844,0.0
1002.664,-692.8837,41.9759,455.1125,0.0477,0.081,0.0
1002.6947,-670.3989,57.0831,456.7241,0.047,0.0776,0.0
1002.7256,-647.9697,71.7548,458.075,0.0463,0.0742,0.0
1002.7565,-625.6133,85.997,459.1704,0.0455,0.0708,0.0
1002.7874,-603.3462,99.8162,460.0156,0.0448,0.0674,0.0
1002.8184,-582.1372,113.4736,460.6469,0.044,0.064,0.0
1002.8494,-561.6396,126.8849,461.0514,0.0432,0.0606,0.0
